Horizon_Step,Time_Ahead_Min,Classical_GRU_MAE,Classical_GRU_Std,Hybrid_QML_MAE,Hybrid_QML_Std,Difference_QML_minus_GRU
1,5,0.2904373387898635,0.004399136938356213,0.21557176161346353,0.005870893939466018,-0.07486557717639997
2,10,0.23817267618657256,0.008858471095314232,0.6657894232190488,0.015071908334809201,0.4276167470324762
3,15,0.6062207668746081,0.01635837556215573,0.9500124157857253,0.025851953127148535,0.34379164891111713
4,20,1.0941109895818868,0.022607803531844824,0.47771349506604405,0.011978772993428227,-0.6163974945158428
5,25,1.426920811659461,0.020615325335632904,0.4094129269385385,0.017690940348243745,-1.0175078847209225
6,30,1.711667247699868,0.02965227794038077,0.8504137365673037,0.02099470672277614,-0.8612535111325643
7,35,1.8002034539434113,0.02837315228793359,1.4293511220670836,0.0168792063996342,-0.3708523318763277
8,40,1.882835166424505,0.0166338582078506,2.0830883746779847,0.009544530836522363,0.2002532082534796
9,45,1.7942147352782993,0.008968741274816859,2.564382380685694,0.004647244932475118,0.7701676454073945
10,50,1.6246566043411008,0.0053016975935814585,2.6069156905603434,0.007137819397512205,0.9822590862192426
11,55,1.333004724852907,0.029644578994208033,2.383179159809368,0.009806215244055106,1.050174434956461
12,60,1.2978797113484934,0.042278558604664264,1.8027321745056568,0.008696191444265474,0.5048524631571634
13,65,1.2865843840933198,0.04027617623981294,1.0335015137554762,0.004479919672014686,-0.2530828703378436
14,70,1.053803179541274,0.039235232435319144,0.4833207518554259,0.007573798420345059,-0.570482427685848
15,75,0.7404811513814276,0.031708590527152504,0.21356437685879412,0.008042962559802122,-0.5269167745226334
16,80,0.6638416690933157,0.015387089985283072,0.2503242996022611,0.010584793548004796,-0.41351736949105455
17,85,0.7659568370340069,0.017727379367032385,0.26845397019724737,0.011199982024272163,-0.4975028668367595
18,90,0.8567192856710436,0.01742076680610669,0.31708770165963895,0.01216892802477526,-0.5396315840114047
19,95,0.9912921519745262,0.015210717239033398,0.3977778522042527,0.01745707598485474,-0.5935142997702736
20,100,1.3468953276208924,0.02347358884151708,0.5973329928277364,0.01576487843160598,-0.7495623347931559
21,105,1.556433420323714,0.03171449374826167,1.1590121462596181,0.010979501554724614,-0.3974212740640959
22,110,1.521030391581913,0.029585972100755795,1.6913909957388564,0.004706177218821215,0.17036060415694343
23,115,1.4378367469257314,0.015462979511410756,2.0319182512871325,0.002257138297234039,0.5940815043614012
24,120,1.347205520262588,0.01149401680380541,2.0558894275445914,0.00446999836505676,0.7086839072820033
