Metric,Thermal_Unaware_Mean,Thermal_Unaware_Std,Thermal_Aware_Mean,Thermal_Aware_Std,Delta
Peak Rack Inlet Temp (°C),26.037993052109393,0.0927920791337975,25.84226623595792,0.0847907999543344,-0.19572681615147403
Peak CPU Junction Temp (°C),66.7524890668071,3.6999023489142693,66.9377157054334,1.2208846529923345,0.18522663862630395
Mean Rack Thermal Gradient (°C),3.476310743616898,0.03332914016185863,2.8830570228922108,0.037114560918344544,-0.5932537207246873
Hot-Spot Duration >24°C (min),4627.5,97.38953856663571,2832.0,194.096196081565,-1795.5
Critical Task Violation Rate (%),15.272814722196605,1.172470959591149,6.877393228905329,2.841299517503323,-8.395421493291277
Critical Workload MTBF (relative),0.787306881034959,0.023932277737841047,0.5135852988040185,0.010589756717428397,-0.27372158223094056
Overall Facility MTBF (relative),0.8424820570300877,0.017928430710378803,0.7779969317000364,0.016530967566536155,-0.06448512533005135
Electrical Energy (kWh),12323.98232267848,645.6463153454939,12004.818612454808,638.095557661775,-319.16371022367093
Carbon Footprint (kg CO2),4939.1878357513915,258.00906379143237,4813.805541598291,256.28941398288515,-125.3822941531007
