Seed,Condition,Energy_kWh,Carbon_kg,Peak_Inlet_Temp,Peak_Junction_Temp,Mean_Thermal_Gradient,Hotspot_Minutes,Crit_Violation_Pct,Crit_MTBF,Overall_MTBF,Rack1_Max_Inlet,Rack2_Max_Inlet,Rack3_Max_Inlet,Rack4_Max_Inlet
101,Thermal-Unaware (Uniform),12068.44191189346,4835.3438194017845,25.991294313356235,69.19153255091278,3.479771238653815,4480.0,15.84159566940355,0.7637295014766794,0.825109658308405,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
101,Thermal-Aware (Optimal),11770.48736274954,4717.791715895722,25.804522622900187,67.48081378685245,2.8947799071873423,2890.0,9.441983692723454,0.5070160834800259,0.7628113814916954,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
105,Thermal-Unaware (Uniform),12118.395253994026,4857.29656256605,26.213200201244558,70.40320020124456,3.483541788725811,4655.0,16.86341902227977,0.7609507105653373,0.8226936710281558,23.879822063869746,24.312588900489203,24.795589638900513,26.213200201244558
105,Thermal-Aware (Optimal),11801.49949273325,4731.666228766643,26.00268355770374,68.52906153155851,2.8940471839520594,3045.0,10.19925187241058,0.5032814042795327,0.76033253068742,23.887884586347916,24.35020177664643,24.776308193872417,26.00268355770374
103,Thermal-Unaware (Uniform),12837.81106175853,5143.389554652197,26.213900935851598,70.4039009358516,3.5265462572305206,4750.0,17.3988712681116,0.7618190473225377,0.8244951183441451,23.970219409291268,24.403130894304585,24.882606915367756,26.213900935851598
103,Thermal-Aware (Optimal),12513.91070182022,5016.409392132725,26.002819245001586,68.52919379619719,2.9409656590004944,2845.0,8.728802127476198,0.5110387323844756,0.7649159880423287,24.00013765363409,24.440318020319516,24.834416168330893,26.002819245001586
102,Thermal-Unaware (Uniform),12539.655639362698,5026.301499319985,26.01376919050407,62.48788751829436,3.4706049629360622,4675.0,14.157921126399357,0.8127200864522939,0.8612367567541052,23.970219409291268,24.403130894304585,24.882606915367756,26.01376919050407
102,Thermal-Aware (Optimal),12213.274796086635,4898.595315359067,25.785501196572547,65.59885059748791,2.870969849170114,2705.0,3.747693616286417,0.5212288132633633,0.7940243653314335,24.00013765363409,24.440318020319516,24.834416168330893,25.785501196572547
104,Thermal-Unaware (Uniform),13298.966472524055,5328.960761419062,25.991294313356235,62.487898825303986,3.5136489543275085,4745.0,14.643883144629239,0.8138304671138136,0.863285484893876,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
104,Thermal-Aware (Optimal),12962.947376561313,5199.118723450192,25.804522622900187,65.5989358101546,2.920049732404101,2520.0,3.3052323401993573,0.5306758866191159,0.7998947500144309,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
107,Thermal-Unaware (Uniform),11223.889872661166,4500.564490729242,25.991294313356235,69.19154884781163,3.412455838887427,4535.0,14.582713904664635,0.7849427786653012,0.8392588032374219,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
107,Thermal-Aware (Optimal),10910.181507223013,4375.470473109149,25.804522622900187,67.47920251422575,2.811540615886102,3095.0,8.388561063088979,0.5017732749340253,0.7704925210669801,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
108,Thermal-Unaware (Uniform),11358.184267372719,4552.494822849264,25.991294313356235,69.19157889207628,3.4401476961384208,4485.0,15.69038321018986,0.7623218416714015,0.8228000814783321,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
108,Thermal-Aware (Optimal),11048.019009602314,4428.713762565956,25.804522622900187,67.48094536857393,2.847630801743803,3085.0,10.347765852434803,0.49909894457872434,0.7578050709579364,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
106,Thermal-Unaware (Uniform),12561.367783733727,5035.153438671332,25.991294313356235,62.48793698085706,3.4706625721094815,4680.0,14.197999627700925,0.8125651070522512,0.8610925099165713,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
106,Thermal-Aware (Optimal),12232.408453510161,4906.686599514013,25.804522622900187,65.59892275643162,2.871932938995763,2715.0,4.1617843107023775,0.5216676779302004,0.7944174157094127,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
109,Thermal-Unaware (Uniform),12695.66693820476,5087.08552573518,25.991294313356235,69.19153629500093,3.498354508512654,4630.0,15.324151763946706,0.7876364859118368,0.8437751610781489,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
109,Thermal-Aware (Optimal),12370.249543187983,4959.931974593146,25.804522622900187,67.48240970141727,2.9080251291529255,2705.0,6.203387144390837,0.5184491579810703,0.7809378951475436,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
110,Thermal-Unaware (Uniform),12537.444025279656,5025.287882169815,25.991294313356235,62.48786962071796,3.4673736186472826,4640.0,14.027208484640427,0.8125527841181366,0.8610733252617164,23.879822063869746,24.312588900489203,24.795589638900513,25.991294313356235
110,Thermal-Aware (Optimal),12225.207881073651,4903.671230596289,25.804522622900187,65.59882119143477,2.870628411429404,2715.0,4.2494702693402955,0.5216230125896506,0.7943373985511831,23.887884586347916,24.35020177664643,24.776308193872417,25.804522622900187
